ID,Kp_Level,Kp_Range,Bz_Level,Bz_Range,Bt_Level,Bt_Range,Speed_Level,Speed_Range,Density_Level,Density_Range,Aurora_Probability_%,Aurora_Type,Aurora_Colors,Aurora_Structure,Latitude_Reach_°,Duration_Hours
13,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.6,None,N/A,N/A,>70°,0
14,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,High,15-25 p/cm³,0.6,None,N/A,N/A,>70°,0
15,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very High,>25 p/cm³,0.6,None,N/A,N/A,>70°,0
16,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,0.6,None,N/A,N/A,>70°,0
17,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,0.6,None,N/A,N/A,>70°,0
18,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,0.7,None,N/A,N/A,>70°,0
19,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,0.7,None,N/A,N/A,>70°,0
20,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,0.8,None,N/A,N/A,>70°,0
21,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,0.8,None,N/A,N/A,>70°,0
22,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Low,3-7 p/cm³,0.8,None,N/A,N/A,>70°,0
23,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,0.8,None,N/A,N/A,>70°,0
24,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,High,15-25 p/cm³,0.9,None,N/A,N/A,>70°,0
25,Quiet,0-2,Strong Northward,>+10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.0,None,N/A,N/A,>70°,0
26,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.4,None,N/A,N/A,>70°,0
27,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.4,None,N/A,N/A,>70°,0
28,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.4,None,N/A,N/A,>70°,0
29,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,High,15-25 p/cm³,0.4,None,N/A,N/A,>70°,0
30,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.5,None,N/A,N/A,>70°,0
31,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.5,None,N/A,N/A,>70°,0
32,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.5,None,N/A,N/A,>70°,0
33,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.5,None,N/A,N/A,>70°,0
34,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.6,None,N/A,N/A,>70°,0
35,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.6,None,N/A,N/A,>70°,0
36,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.6,None,N/A,N/A,>70°,0
37,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.6,None,N/A,N/A,>70°,0
38,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.7,None,N/A,N/A,>70°,0
39,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,High,15-25 p/cm³,0.7,None,N/A,N/A,>70°,0
40,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very High,>25 p/cm³,0.7,None,N/A,N/A,>70°,0
41,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,0.7,None,N/A,N/A,>70°,0
42,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,0.8,None,N/A,N/A,>70°,0
43,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,0.8,None,N/A,N/A,>70°,0
44,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,0.9,None,N/A,N/A,>70°,0
45,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,0.9,None,N/A,N/A,>70°,0
46,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,0.9,None,N/A,N/A,>70°,0
47,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Low,3-7 p/cm³,0.9,None,N/A,N/A,>70°,0
48,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,1.0,None,N/A,N/A,>70°,0
49,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,High,15-25 p/cm³,1.1,None,N/A,N/A,>70°,0
50,Quiet,0-2,Strong Northward,>+10 nT,Weak,5-10 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.1,None,N/A,N/A,>70°,0
51,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.4,None,N/A,N/A,>70°,0
52,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.4,None,N/A,N/A,>70°,0
53,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.4,None,N/A,N/A,>70°,0
54,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,High,15-25 p/cm³,0.5,None,N/A,N/A,>70°,0
55,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.5,None,N/A,N/A,>70°,0
56,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.5,None,N/A,N/A,>70°,0
57,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.5,None,N/A,N/A,>70°,0
58,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.6,None,N/A,N/A,>70°,0
59,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.6,None,N/A,N/A,>70°,0
60,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.6,None,N/A,N/A,>70°,0
61,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.6,None,N/A,N/A,>70°,0
62,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.7,None,N/A,N/A,>70°,0
63,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.7,None,N/A,N/A,>70°,0
64,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,High,15-25 p/cm³,0.8,None,N/A,N/A,>70°,0
65,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Fast,500-650 km/s,Very High,>25 p/cm³,0.8,None,N/A,N/A,>70°,0
66,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,0.8,None,N/A,N/A,>70°,0
67,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,0.8,None,N/A,N/A,>70°,0
68,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,0.9,None,N/A,N/A,>70°,0
69,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,1.0,None,N/A,N/A,>70°,0
70,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,1.0,None,N/A,N/A,>70°,0
71,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,1.0,None,N/A,N/A,>70°,0
72,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Low,3-7 p/cm³,1.0,None,N/A,N/A,>70°,0
73,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,1.1,None,N/A,N/A,>70°,0
74,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,High,15-25 p/cm³,1.2,None,N/A,N/A,>70°,0
75,Quiet,0-2,Strong Northward,>+10 nT,Moderate,10-15 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.3,None,N/A,N/A,>70°,0
76,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.4,None,N/A,N/A,>70°,0
77,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.5,None,N/A,N/A,>70°,0
78,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.5,None,N/A,N/A,>70°,0
79,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,High,15-25 p/cm³,0.5,None,N/A,N/A,>70°,0
80,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.6,None,N/A,N/A,>70°,0
81,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.5,None,N/A,N/A,>70°,0
82,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.6,None,N/A,N/A,>70°,0
83,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.6,None,N/A,N/A,>70°,0
84,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.7,None,N/A,N/A,>70°,0
85,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.7,None,N/A,N/A,>70°,0
86,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.7,None,N/A,N/A,>70°,0
87,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.7,None,N/A,N/A,>70°,0
88,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.8,None,N/A,N/A,>70°,0
89,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,High,15-25 p/cm³,0.9,None,N/A,N/A,>70°,0
90,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Fast,500-650 km/s,Very High,>25 p/cm³,0.9,None,N/A,N/A,>70°,0
91,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,0.9,None,N/A,N/A,>70°,0
92,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,0.9,None,N/A,N/A,>70°,0
93,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,1.0,None,N/A,N/A,>70°,0
94,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,1.1,None,N/A,N/A,>70°,0
95,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,1.1,None,N/A,N/A,>70°,0
96,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,1.1,None,N/A,N/A,>70°,0
97,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Low,3-7 p/cm³,1.1,None,N/A,N/A,>70°,0
98,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,1.2,None,N/A,N/A,>70°,0
99,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,High,15-25 p/cm³,1.3,None,N/A,N/A,>70°,0
100,Quiet,0-2,Strong Northward,>+10 nT,Strong,15-25 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.4,None,N/A,N/A,>70°,0
101,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.5,None,N/A,N/A,>70°,0
102,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Low,3-7 p/cm³,0.5,None,N/A,N/A,>70°,0
103,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Normal,7-15 p/cm³,0.5,None,N/A,N/A,>70°,0
104,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,High,15-25 p/cm³,0.6,None,N/A,N/A,>70°,0
105,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Slow,<400 km/s,Very High,>25 p/cm³,0.6,None,N/A,N/A,>70°,0
106,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,0.6,None,N/A,N/A,>70°,0
107,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,0.6,None,N/A,N/A,>70°,0
108,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,0.7,None,N/A,N/A,>70°,0
109,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,High,15-25 p/cm³,0.7,None,N/A,N/A,>70°,0
110,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,0.8,None,N/A,N/A,>70°,0
111,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,0.8,None,N/A,N/A,>70°,0
112,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Low,3-7 p/cm³,0.8,None,N/A,N/A,>70°,0
113,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,0.9,None,N/A,N/A,>70°,0
114,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,High,15-25 p/cm³,1.0,None,N/A,N/A,>70°,0
115,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Fast,500-650 km/s,Very High,>25 p/cm³,1.0,None,N/A,N/A,>70°,0
116,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,1.0,None,N/A,N/A,>70°,0
117,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,1.0,None,N/A,N/A,>70°,0
118,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,1.1,None,N/A,N/A,>70°,0
119,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,1.2,None,N/A,N/A,>70°,0
120,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,1.2,None,N/A,N/A,>70°,0
121,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,1.2,None,N/A,N/A,>70°,0
122,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Low,3-7 p/cm³,1.3,None,N/A,N/A,>70°,0
123,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,1.4,None,N/A,N/A,>70°,0
124,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,High,15-25 p/cm³,1.5,None,N/A,N/A,>70°,0
125,Quiet,0-2,Strong Northward,>+10 nT,Very Strong,>25 nT,Extreme,>800 km/s,Very High,>25 p/cm³,1.6,None,N/A,N/A,>70°,0
126,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very Low,<3 p/cm³,0.9,None,N/A,N/A,>70°,0
127,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Low,3-7 p/cm³,1.0,None,N/A,N/A,>70°,0
128,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Normal,7-15 p/cm³,1.0,None,N/A,N/A,>70°,0
129,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,High,15-25 p/cm³,1.1,None,N/A,N/A,>70°,0
130,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Slow,<400 km/s,Very High,>25 p/cm³,1.2,None,N/A,N/A,>70°,0
131,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,1.1,None,N/A,N/A,>70°,0
132,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,1.2,None,N/A,N/A,>70°,0
133,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,1.3,None,N/A,N/A,>70°,0
134,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,High,15-25 p/cm³,1.4,None,N/A,N/A,>70°,0
135,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,1.5,None,N/A,N/A,>70°,0
136,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,1.5,None,N/A,N/A,>70°,0
137,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Low,3-7 p/cm³,1.6,None,N/A,N/A,>70°,0
138,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,1.7,None,N/A,N/A,>70°,0
139,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Fast,500-650 km/s,High,15-25 p/cm³,1.8,None,N/A,N/A,>70°,0
140,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Fast,500-650 km/s,Very High,>25 p/cm³,1.9,None,N/A,N/A,>70°,0
141,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,1.8,None,N/A,N/A,>70°,0
142,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Low,3-7 p/cm³,1.9,None,N/A,N/A,>70°,0
143,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Normal,7-15 p/cm³,2.0,None,N/A,N/A,>70°,0
144,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,High,15-25 p/cm³,2.2,None,N/A,N/A,>70°,0
145,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Very Fast,650-800 km/s,Very High,>25 p/cm³,2.3,None,N/A,N/A,>70°,0
146,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very Low,<3 p/cm³,2.3,None,N/A,N/A,>70°,0
147,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Low,3-7 p/cm³,2.4,None,N/A,N/A,>70°,0
148,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Normal,7-15 p/cm³,2.5,None,N/A,N/A,>70°,0
149,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Extreme,>800 km/s,High,15-25 p/cm³,2.8,None,N/A,N/A,>70°,0
150,Quiet,0-2,Weak Northward,0 to +10 nT,Very Weak,<5 nT,Extreme,>800 km/s,Very High,>25 p/cm³,2.9,None,N/A,N/A,>70°,0
151,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Slow,<400 km/s,Very Low,<3 p/cm³,1.1,None,N/A,N/A,>70°,0
152,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Slow,<400 km/s,Low,3-7 p/cm³,1.1,None,N/A,N/A,>70°,0
153,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Slow,<400 km/s,Normal,7-15 p/cm³,1.2,None,N/A,N/A,>70°,0
154,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Slow,<400 km/s,High,15-25 p/cm³,1.3,None,N/A,N/A,>70°,0
155,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Slow,<400 km/s,Very High,>25 p/cm³,1.4,None,N/A,N/A,>70°,0
156,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very Low,<3 p/cm³,1.4,None,N/A,N/A,>70°,0
157,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Low,3-7 p/cm³,1.4,None,N/A,N/A,>70°,0
158,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Normal,7-15 p/cm³,1.5,None,N/A,N/A,>70°,0
159,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Moderate,400-500 km/s,High,15-25 p/cm³,1.7,None,N/A,N/A,>70°,0
160,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Moderate,400-500 km/s,Very High,>25 p/cm³,1.7,None,N/A,N/A,>70°,0
161,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very Low,<3 p/cm³,1.8,None,N/A,N/A,>70°,0
162,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Fast,500-650 km/s,Low,3-7 p/cm³,1.9,None,N/A,N/A,>70°,0
163,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Fast,500-650 km/s,Normal,7-15 p/cm³,2.0,None,N/A,N/A,>70°,0
164,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Fast,500-650 km/s,High,15-25 p/cm³,2.1,None,N/A,N/A,>70°,0
165,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Fast,500-650 km/s,Very High,>25 p/cm³,2.2,None,N/A,N/A,>70°,0
166,Quiet,0-2,Weak Northward,0 to +10 nT,Weak,5-10 nT,Very Fast,650-800 km/s,Very Low,<3 p/cm³,2.2,None,N/A,N/A,>70°,0
